152, 152, Chikorita, 10, NULL, 0.9, 6.4, 11, 7
153, 153, Bayleef, 10, NULL, 1.2, 15.8, 11, 7
154, 154, Meganium, 10, NULL, 1.8, 100.5, 11, 7
155, 155, Cyndaquil, 07, NULL, 0.5, 7.9, 5, NULL
156, 156, Quilava, 07, NULL, 0.9, 19, 5, NULL
157, 157, Typhlosion, 07, NULL, 1.7, 79.5, 5, NULL
158, 158, Totodile, 18, NULL, 0.6, 9.5, 11, 13
159, 159, Croconaw, 18, NULL, 1.1, 25, 11, 13
160, 160, Feraligatr, 18, NULL, 2.3, 88.8, 11, 13
161, 161, Sentret, 13, NULL, 0.8, 6, 5, NULL
162, 162, Furret, 13, NULL, 1.8, 32.5, 5, NULL
163, 163, Hoothoot, 13, 08, 0.7, 21.2, 6, NULL
164, 164, Noctowl, 13, 08, 1.6, 40.8, 6, NULL
165, 165, Ledyba, 01, 08, 1, 10.8, 1, NULL
166, 166, Ledian, 01, 08, 1.4, 35.6, 1, NULL
167, 167, Spinarak, 01, 14, 0.5, 8.5, 1, NULL
168, 168, Ariados, 01, 14, 1.1, 33.5, 1, NULL
169, 169, Crobat, 14, 08, 1.8, 75, 6, NULL
170, 170, Chinchou, 18, 04, 0.5, 12, 14, NULL
171, 171, Lanturn, 18, 04, 1.2, 22.5, 14, NULL
172, 172, Pichu, 04, NULL, 0.3, 2, 16, NULL
173, 173, Cleffa, 05, NULL, 0.3, 3, 16, NULL
174, 174, Igglybuff, 13, 05, 0.3, 1, 16, NULL
175, 175, Togepi, 05, NULL, 0.3, 1.5, 16, NULL
176, 176, Togetic, 05, 08, 0.6, 3.2, 6, 4
177, 177, Natu, 15, 08, 0.2, 2, 6, NULL
178, 178, Xatu, 15, 08, 1.5, 15, 6, NULL
179, 179, Mareep, 04, NULL, 0.6, 7. 8, 11, 5
180, 180, Flaffy, 04, NULL, 0.8, 13.3, 11, 5
181, 181, Ampharos, 04, NULL, 1.4, 61.5, 11, 05
182, 182, Bellossom, 10, NULL, 0.4, 5.8, 07, NULL
183, 183, Marill, 18, 05, 0.4, 8.5, 13, 04
184, 184, Azumarill, 18, 05, 0.8, 28.5, 13, 04
185, 185, Sudowoodo, 16, NULL, 1.2, 38, 10, Null
186, 186, Politoed, 18, NULL, 1.1, 33.9, 13, NULL
187, 187, Hoppip, 10, 08, 0.4, .5, 04, 07
188, 188, Skiploom, 10, 08, 0.6, 1, 04, 07
189, 189, Jumpluff, 10, 08, 0.8, 3, 04, 07
190, 190, Aipom, 13, NULL, 0.8, 11.5, 05, NULL
191, 191, Sunkern, 10, NULL, 0.3, 1.8, 07, NULL
192, 192, Sunflora, 10, NULL, 0.8, 8.5, 07, NULL
193, 193, Yanma, 01, 08, 1.2, 38, 01, NULL
194, 194, Wooper, 18, 11, 0.4, 8.5, 13, 05
195, 195, Quagsire, 18, 11, 1.4, 75, 13, 05
196, 196, Espeon, 15, NULL, 0.9, 26.5, 05 , NULL
197, 197, Umbreon, 02, NULL, 1, 27, 05, NULL
198, 198, Murkrow, 02, 08, 0.5, 2.1, Flying, NULL
199, 199, Slowking, 18, 15, 2, 79.5, 11, 13
200, 200, Misdreavus, 09, NULL, 0.7, 1, 09, NULL
201, 201, Unown, 15, Null, 0.5, 5, 16, NULL
202, 202, Wobbuffet, 15, Null, 1.3, 28.5, 09, NULL
203, 203, Girafarig, 13, 15, 1.5, 41.5, 05, NULL
204, 204, Pineco, 01, NULL, 0.6, 7.2, 01, NULL
205, 205, Forretress, 01, 17, 1.2, 125.8, 01, NULL
206, 206, Dunsparce, 13, NULL, 1.5, 14, 05, NULL
207, 207, Gligar, 11, 08, 1.1, 64.8, 01, NULL
208, 208, Steelix, 17, 11, 9.2, 400, 10, NULL
209, 209, Snubbull, 05, NULL, 0.6, 7.8, 05, 04
210, 210, Granbull, 05, NULL, 1.4, 48.7, 05, 04
211, 211, Qwilfish, 18, 14, .5, 3.9, 14, NULL
212, 212, Scizor, 01, 17, 1.8, 118, 01, NULL
213, 213, Shuckle, 01, 16, 0.6, 20.5, 01, NULL
214, 214, Heracross, 01, 06, 1.5, 54, 01, NULL
215, 215, Sneasel, 02, 12, 0.9, 28, 05, NULL
216, 216, Teddiursa, 13, NULL, 0.6, 8.8, 05, NULL
217, 217, Ursaring, 13, NULL, 1.8, 125.8, 05, NULL
218, 218, Slugma, 07, NULL, 0.7, 35, 09, NULL
219, 219, Magargo, 07, 16, 0.8, 55, 09, NULL
220, 220, Swinub, 12, 11, 0.4, 6.5, 05, NULL
221, 221, Piloswine, 12, 11, 1.1, 55.8, 05, NULL
222, 222, Corsola, 18, 16, 0.6, 5, 13, 15
223, 223, Remoraid, 18, NULL, 0.6, 12, 13, 14
224, 224, Octillery, 18, NULL, 0.9, 28.5, 13, 14
225, 225, Delibird, 12, 08, 0.9, 16, 13, 05
226, 226, Mantine, 18, 08, 2.1, 220, 13, NULL
227, 227, Skarmory, 17, 08, 1.7, 50.5, Flying, NULL
228, 228, Houndour, 02, 07, 0.6, 10.8, 05, NULL
229, 229, Houndoom, 02, 07, 1.4, 35, 05, NULL
230, 230, Kingdra, 18, 03, 1.8, 152, 13, 03
231, 231, Phanpy, 11, NULL, 0.5, 33.5, 05, NULL
232, 232, Donphan, 11, NULL, 1.1, 120, 05, NULL
233, 233, Porygon2, 13, NULL, 0.6, 32.5, 10, NULL
234, 234, Stantler, 13, NULL, 1.4, 71.2, 05, NULL
235, 235, Smeargle, 13, NULL, 1.2, 58, 05, NULL
236, 236, Tyrogue, 06, NULL, 0.7, 21, 16, NULL
237, 237, Hitmontop, 06, NULL, 1.4, 48, 08, NULL
238, 238, Smoochum, 12, 15, 0.4, 6, 16, NULL
239, 239, Elekid, 04, NULL, 0.6, 23.5, 16, NULL
240, 240, Magby, 07, NULL, 0.7, 21.4, 16, NULL
241, 241, Miltank, 13, NULL, 1.2, 75.5, 05, NULL
242, 242, Blissey, 13, NULL, 1.5, 46.8, 04, NULL
243, 243, Raikou, 04, NULL, 1.9, 178, 16, NULL
244, 244, Entei, 07, NULL, 2.1, 198, 16, NULL
245, 245, Suicune, 18, NULL, 2, 187, 16, NULL
246, 246, Larvitar, 16, 11, 0.6, 72, 11, NULL
247, 247, Pupitar, 16, 11, 1.2, 152, 11, NULL
248, 248, Tyranitar, 16, 02, 2, 202, 11, NULL
249, 249, Lugia, 15, 08, 5.2, 216, 16, NULL
250, 250, Ho-Oh, 07, 08, 3.8, 199, 16, NULL
251, 251, Celebi, 15, 10, 0.6, 5, 16, NULL
