152, 45, 49, 65, 49, 65, 45
153, 60, 62, 80, 63, 80, 60
154, 80, 82, 100, 83, 100, 80
155, 39, 52, 43, 60, 50, 65
156, 58, 64, 58, 80, 65, 80
157, 78, 84, 78, 109, 85, 100
158, 50, 65, 64, 44, 48, 43
159, 65, 80, 80, 59, 63, 58
160, 85, 105, 100, 79, 83, 78
161, 35, 46, 34, 35, 45, 20
162, 85, 76, 64, 45, 55, 90
163, 60, 30, 30, 36, 56, 50
164, 100, 50, 50, 76, 96, 70
165, 40, 20, 30, 40, 80, 55
166, 55, 35, 50, 55, 110, 85
167, 40, 60, 40, 40, 40, 30
168, 70, 90, 70, 60, 60, 40
169, 85, 90, 80, 70, 80, 130
170, 75, 38, 38, 56, 56, 67
171, 125, 58, 58, 76, 76, 67
172, 20, 40, 15, 35, 35, 60
173, 50, 25, 28, 45, 55, 15
174, 90, 30, 15, 40, 20, 15
175, 35, 20, 65, 40, 65, 20
176, 55, 40, 85, 80, 105, 40
177, 40, 50, 45, 70, 45, 70
178, 65, 75, 70, 95, 70, 95
179, 55, 40, 40, 65, 45, 35
180, 70, 55, 55, 80, 60, 45
181, 90, 95, 105, 165, 110, 45
182, 75, 80, 95, 90, 100, 50
183, 70, 20, 50, 20, 50, 40
184, 100, 50, 80, 60, 80, 50
185, 70, 100, 115, 30, 65, 30
186, 90, 75, 75, 90, 100, 70
187, 35, 35, 40, 35, 55, 50
188, 55, 45, 50, 45, 65, 80
189, 75, 55, 70, 55, 95, 110
190, 55, 70, 55, 40, 55, 85
191, 30, 30, 30, 30, 30, 30
192, 75, 75, 55, 105, 85, 30
193, 65, 65, 45, 75, 45, 95
194, 55, 45, 45, 25, 25, 15
195, 95, 85, 85, 65, 65, 35
196, 65, 65, 60, 130, 95, 110
197, 95, 65, 110, 60, 130, 65
198, 60, 85, 42, 85, 42, 91
199, 95, 75, 80,100, 110, 30
200, 60, 60, 60, 85, 85, 85
201, 48, 72, 48, 72, 48, 48
202, 190, 33, 58, 33, 58, 33
203, 70, 80, 65, 90, 65, 85
204, 50, 65, 90, 35, 35, 15
205, 75, 90, 140, 60, 60, 40
206, 100, 70, 70, 65, 65, 45
207, 65, 75, 105, 35, 65, 85
208, 75, 85, 200, 55, 65, 30
209, 60, 80, 50, 40, 40, 30
210, 90, 120, 75, 60, 60, 45
211, 65, 95, 75, 55, 55, 85
212, 70, 150, 140, 65, 100, 75
213, 20, 10, 230, 10, 230, 230, 5
214, 80, 185, 115, 40, 105, 75
215, 55, 95, 55, 35, 75, 115
216, 60, 80, 50, 50, 50, 40
217, 90, 130, 75, 75, 75, 55
218, 40, 40, 40, 70, 40, 20
219, 50, 50, 120, 80, 80, 30
220, 50, 50, 40, 30, 30, 50
221, 100, 100, 80, 60, 60, 50
222, 55, 55, 85, 65, 85, 35
223, 35, 65, 35, 65, 35, 65
224, 75, 105, 75, 105, 75, 45
225, 45, 55, 45, 65, 45, 75
226, 65, 40, 70, 80, 140, 70
227, 65, 80, 140, 40, 70, 70
228, 45, 60, 30, 80, 50, 65
229, 75, 90, 90, 140, 90, 115
230, 75, 95, 95, 95, 95, 85
231, 90, 60, 60, 40, 40, 40
232, 90, 120, 120, 60, 60, 50
233, 85, 80, 90, 105, 95, 60
234, 73, 95, 62, 85, 65, 85
235, 55, 20, 35, 20, 45, 75
236, 35, 35, 35, 35, 35, 35
237, 50, 95, 35, 110, 70
238, 45, 30, 15, 85, 65, 65
239, 45, 63, 37, 65, 55, 95
240, 45, 75, 37, 70, 55, 83
241, 95, 80, 105, 40, 70, 100
242, 255, 10, 10, 75, 135, 55
243, 90, 85, 75, 115, 100, 115
244, 115, 115, 85, 90, 75, 100
245, 100, 75, 115, 90, 115, 85
246, 50, 64, 50, 45, 50, 41
247, 70, 84, 70, 65, 70, 51
248, 100, 164, 150, 95, 120, 71
249, 106, 90, 130, 90, 154, 110
250, 106, 130, 90, 110, 154, 90
251, 100, 100, 100, 100, 100, 100
